#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAME88000;Birth of the Assassins;;;;;;;;;;;Pîæäåíèå óáèéö;;x
EVTDESC88012;"As you turn a street corner in [Root.Location.GetName], a strange whistling sound swishes past your ear. Your bodyguards topple over, knives in their throats, and before you can react you are surrounded by robed Hashshashin. Their leader approaches you with a sad look on his face. ""May you find what you seek in the life hereafter, friend.""";;;;;;;;;;;"Äîñòèãíóâ óãëà óëèöû ãîðîäà [Root.Location.GetName], Âû ñëûøèòå ñòðàííûé ñâèñò. Âàøè òåëîõðàíèòåëè ïàäàþò ñ ïåðåðåçàííûì ãîðëîì, è íå äàâ ñðåàãèðîâàòü, Âàñ îêðóæàþò àññàñèíû. Èõ ëèäåð ïðèáëèæàåòñÿ ê Âàì ñ ïå÷àëüíûì âûðàæåíèåì íà ëèöå: ""Ìîæåò òû íàéä¸øü òî, ÷òî èñêàë â äðóãîé æèçíè, äðóã.""";;x
EVTDESC88016;"[assassin_target.GetTitledName] staggers past your guards, bleeding profusely from a dozen stab-wounds. As [assassin_target.GetSheHe] collapses in a pool of blood at your feet, [assassin_target.GetSheHe] gasps with [assassin_target.GetHerHis] last breath: ""The H-Hashshashin...""";;;;;;;;;;;"[From.GetTitledName] ïðîø[From.GetLaYol] ìèìî ñâîèõ îõðàííèêîâ, èñòåêàÿ êðîâüþ îò ìíîæåñòâà êîëîòûõ ðàí. [From.GetSheHeCap] óïàë[From.GetEndA] â ëóæó êðîâè ê Âàøèì íîãàì, ïðîèçíåñÿ íà ïîñëåäíåì âçäîõå: ""À-à-àññàñèíû...""";;x
EVTDESC88017;Your guards bring in a covered basket left just outside your palace. Believing it to be confections from one of your subjects, you hungrily pull away the covering blanket only to reveal the severed, gaping head of [assassin_target.GetTitledName]. The mark of the Hashshashin has been carved into the forehead.;;;;;;;;;;;Âàøà îõðàíà ïðèíåñëà íàêðûòóþ êîðçèíó, îñòàâëåííóþ ó äâîðöà. Ïîëàãàÿ, ÷òî ýòî êîíäèòåðñêèå èçäåëèÿ îò îäíîãî èç Âàøèõ ïîääàííûõ, Âû æàäíî ñáðîñèëè ïîêðûâàëî. Íî âìåñòî ñëàäîñòåé â êîðçèíå ëåæàëà ÷åëîâå÷åñêàÿ ãîëîâà, ýòî [From.GetTitledName]. Ìåòêà îðäåíà Àññàñèíîâ âûñå÷åíà íà [From.GetHersHis] ëáó.;;x
EVTDESC88018;As you stroll through your palace garden with [assassin_target.GetTitledFirstName], you see the brief glint of reflected sunlight on metal as a thrown dagger flashes past and buries itself in your friend's throat. Your bodyguards rush you to safety, but you glimpse a robed assassin scurrying over the palace walls...;;;;;;;;;;;Âû è [From.GetTitledFirstName] ïðîãóëèâàëèñü ïî äâîðöîâîìó ñàäó, è âäðóã çàìåòèëè îòáëåñê ñîëíöà íà ìåòàëëå. Òóò æå êèíæàë âîíçèëñÿ â ãîðëî Âàøå[From.GetYGo] êîìïàíüîí[From.GetKiA]. Îõðàíà óâåëà Âàñ â áåçîïàñíîå ìåñòî, íî Âû óñïåëè çàìåòèòü îäåÿíèå àññàñèíîâ, ìåëüêíóâøåå íàä ãîðîäñêèìè ñòåíàìè.;;x
EVTDESC88019;"You wake suddenly in cold sweat with a strong sensation that something is amiss. The flickering candlelight in your tent reveals a plate of hot biscuits and a note pinned by a poisoned dagger next to your bed. It reads: ""There are a thousand ways to kill a [Root.GetManWoman], [Root.GetFirstName]. The Hashshashin know them all.""";;;;;;;;;;;"Âû ïðîñíóëèñü â õîëîäíîì ïîòó, ñ îùóùåíèåì, ÷òî ÷òî-òî íå òàê. Ìåðöàíèå ñâå÷åé îñâåùàåò òàðåëêó ñ ãîðÿ÷èìè ïå÷åíüÿìè è çàïèñêîé íà îòïðàâëåííîì êèíæàëå ðÿäîì ñ êðîâàòüþ. Òåêñò ãëàñèò: ""Åñòü òûñÿ÷è ñïîñîáîâ óáèòü ÷åëîâåêà, [Root.GetFirstName]. Àññàñèíû çíàþò èõ âñå.""";;x
EVTOPTA88000;These hashish smokers are harmless...;;;;;;;;;;;Ýòè òðàâîåäû íå îïàñíû...;;x
EVTOPTA88001;Perhaps these Hashshashin should be taken seriously...;;;;;;;;;;;Âîçìîæíî, ê íèì ñòîèò îòíîñèòüñÿ ñåðü¸çíî...;;x
EVTOPTA88002;Their demise was inevitable.;;;;;;;;;;;Ýòî áûëî íåèçáåæíî.;;x
EVTOPTA88002_ASSASSIN;This setback will not be the end of The Assassins!;;;;;;;;;;;Ýòà íåóäà÷à íå ïîøàòí¸ò äóõ Àññàñèíîâ!;;x
EVTOPTA88003;Surely they wouldn't dare strike at me.;;;;;;;;;;;Îíè, êîíå÷íî, íå ïîñìåþò óäàðèòü ïî ìíå.;;x
EVTOPTA88004;Good riddance!;;;;;;;;;;;Ñêàòåðòüþ äîðîãà!;;x
EVTOPTA88007;By the Prophet!;;;;;;;;;;;Ïðîðîêè!;;x
EVTOPTA88009;By the Prophet!;;;;;;;;;;;Ïðîðîêè!;;x
EVTOPTA88010;Perhaps the time for change has come...;;;;;;;;;;;Âîçìîæíî, íàñòàëî âðåìÿ ïåðåìåí.;;x
EVTOPTA88011;How dare they?!;;;;;;;;;;;Êàê îíè ñìåþò?!;;x
EVTOPTA88012;But... but I am not ready!;;;;;;;;;;;Íî... íî åù¸ ñëèøêîì ðàíî!;;x
EVTOPTA88016;Oh my.;;;;;;;;;;;Ïðîêëÿòüå!;;x
EVTOPTA88017;I think I've lost my appetite...;;;;;;;;;;;×òî-òî ó ìåíÿ ïðîïàë àïïåòèò.;;x
EVTOPTA88018;The Hashshashin! Was I the intended target?;;;;;;;;;;;À ìîæåò èõ öåëü - ÿ?;;x
EVTOPTA88019;Guards! Search the area!;;;;;;;;;;;Îõðàíà! Îáûñêàòü òåððèòîðèþ!;;x
88017.cannibal;A shame about [From.GetBestName], but at least I have a snack!;;;;;;;;;;;Ïîçîð [From.GetHerHim], íî... õîòÿ áû ïîîáåäàþ.;;x
