#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAME8703;The Teutonic Order;;;;;;;;;;;Tåâòîíñêèé îðäåí;;x
EVTDESC8800;Holy Order or not, I will not let any foreign power establish a hold in my realm.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;Ñâÿòîé ýòîò îðäåí èëè íåò - íåâàæíî. ß íå ïîçâîëþ íèêàêîé èíîñòðàííîé äåðæàâå îñíîâàòü âëàäåíèå â ìî¸ì ãîñóäàðñòâå!\nÏîäïèñü:\n [From.GetTitledName];;x
EVTOPTA8700;I will send an offer;;;;;;;;;;;ß ïîøëþ ïðåäëîæåíèå;;x
EVTOPTA8720;Their precense is most welcome;;;;;;;;;;;Èõ ïðèñóòñòâèå ñëåäóåò âñÿ÷åñêè ïðèâåòñòâîâàòü.;;x
EVTOPTA8721;I better leave this decision to my liege;;;;;;;;;;;Ïóñòü ëó÷øå âàññàëû ñ ýòèì ðàçáèðàþòñÿ.;;x
EVTOPTA8722;Excelent proposal!;;;;;;;;;;;Îòëè÷íîå ïðåäëîæåíèå!;;x
EVTOPTA8723;Then so it shall be!;;;;;;;;;;;Òàê òîìó è áûòü!;;x
EVTOPTA8724;Then I will retract my offer;;;;;;;;;;;Â òàêîì ñëó÷àå, ÿ îòìåíÿþ ñâîè óêàçû.;;x
EVTOPTA8800;Outrageous!;;;;;;;;;;;Âîçìóòèòåëüíî!;;x
EVTOPTB8720;I would never give away my land;;;;;;;;;;;ß íèêîãäà íå îòäàì ñâîþ çåìëþ!;;x
EVTOPTB8721;You have my blessing;;;;;;;;;;;ß áëàãîñëîâëÿþ Âàñ.;;x
EVTOPTB8722;I will not permit any ceding of land;;;;;;;;;;;ß íå óñòóïëþ ñâîèõ çåìåëü.;;x
EVTOPTC8721;No land is to be ceded;;;;;;;;;;;Ëèøíèõ çåìåëü íå áûâàåò.;;x
