#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC69000;The lifestyle of a childless courtier has made me suspect that he fancies other men!;;;;;;;;;;;Îáðàç æèçíè áåçäåòíîãî ïðèäâîðíîãî çàñòàâèë ìåíÿ ïîäîçðåâàòü, ÷òî îí ôàíòàçèðóåò î äðóãèõ ìóæ÷èíàõ!;;x
EVTDESC69013;I did not know [From.GetTitledFirstName] could be so charming, and I had never really noticed how handsome [From.GetSheHe] is...;;;;;;;;;;;ß è íå çíàë, ÷òî [From.GetTitledFirstName] îáëàäàåò òàêèì øàðìîì. Íèêîãäà íå çàìå÷àë, ÷òî [From.GetSheHe] áëåùåò íåîáû÷àéíîé ïðèâëåêàòåëüíîñòüþ...;;x
EVTDESC69015;The rumors about my supposed incestuous love affair with my sister has reached the ears of my confessor.;;;;;;;;;;;Ñëóõè î ìîåé ïðåäïîëàãàåìîé êðîâîñìåñèòåëüíîé ñâÿçè ñ ñåñòðîé äîñòèãëè óøåé ìîåãî äóõîâíèêà.;;x
EVTDESC69016;My sister and I enjoyed a few hours together in the high, abandoned tower of [Root.Location.GetName] when a child's face appeared in one of the windows...;;;;;;;;;;;ß è ñåñòðà íàñëàæäàëèñü íåñêîëüêî ÷àñîâ îáùåñòâîì äðóã äðóãà â âûñîêîé, çàáðîøåííîé áàøíå îêðóãà [Root.Location.GetName], êîãäà â îäíîì èç îêîí âíåçàïíî ïîÿâèëîñü äåòñêîå ëèöî...;;x
EVTDESC69017;I should have killed the child when I had the chance! The child told everyone about me and my sister in the tower, describing in detail what it had seen...;;;;;;;;;;;ß äîëæåí áûë óáèòü ðåá¸íêà, êîãäà ó ìåíÿ áûë øàíñ! Ìàëåíüêîå ÷óäîâèùå ðàññêàçàëî âñ¸ îáî ìíå è ìîåé ñåñòðå â áàøíå, ñ ïîäðîáíûì îïèñàíèåì âñåãî, ÷òî âèäåëî...;;x
EVTDESC69020;Everyone knows how deep and passionate the love between one of the courtiers and his wife are, but sadly it has not resulted in any children. I have heard the wife asking the other wives about cures and ways to get with child but to no avail.;;;;;;;;;;;Êàæäûé çíàåò, íàñêîëüêî ãëóáîêà è ñòðàñòíà ëþáîâü îäíîãî èç ïðèäâîðíûõ è åãî æåíû, íî, ê ñîæàëåíèþ, äåòåé ó íèõ íåò. ß ñëûøàë, ÷òî åãî ñóïðóãà èíòåðåñóåòñÿ ó äðóãèõ æ¸í âàðèàíòàìè ëå÷åíèÿ è ñïîñîáàìè çàáåðåìåíåòü, íî ðåçóëüòàòà íåò.;;x
EVTDESC69021;The biggest grief in our lives is the absence of children so when [From.GetTitledFirstName] stuck [From.GetHerHis] long nose in our private life the longing and sorrow returned with full force.;;;;;;;;;;;Ñàìîå áîëüøîå ãîðå â íàøåé æèçíè çàêëþ÷àåòñÿ â îòñóòñòâèè äåòåé, ïîýòîìó, êîãäà [From.GetTitledFirstName] ïîñìåë ñóíóòü ñâîé äëèííûé íîñ â íàøó ëè÷íóþ æèçíü, òîñêà è ïå÷àëü âåðíóëèñü ñ íîâîé ñèëîé.;;x
EVTDESC69022;I would never have thought anyone would try to profit off our grief, our sorrow that we have failed to conceive a child. The demand for gold or the secret about our trouble conceiving would be out in the open made me furious.;;;;;;;;;;;Íèêîãäà áû íå ïîäóìàë, ÷òî êòî-ëèáî áóäåò ïûòàòüñÿ èçâëå÷ü âûãîäó èç íàøåãî ãîðÿ, èç íàøåé ñêîðáè, ÷òî ìû íå ñìîãëè çà÷àòü ðåá¸íêà. Òðåáîâàíèå çîëîòà â îáìåí íà ñîêðûòèå òàéíû î íàøåé áåäå ñ çà÷àòèåì, ïðèâåëî ìåíÿ â ÿðîñòü.;;x
EVTDESC69024;It seems as if the rumor about me being impotent has spread throughout the court. People are laughing behind my back, or so my so-called 'friends' tell me.;;;;;;;;;;;"Êàæåòñÿ, ñëóõè î òîì, ÷òî ÿ íå ñïîñîáåí èìåòü äåòåé, ðàñïðîñòðàíèëàñü ïî âñåìó äâîðó. Ëþäè ñìåþòñÿ çà ìîåé ñïèíîé. Ïî êðàéíåé ìåðå, ýòî òî, ÷òî ÿ ñëûøó îò ìîèõ òàê íàçûâàåìûõ ""äðóçåé"".";;x
EVTDESC69030;The lingering looks, the small, almost inappropriate touches, the secret smiles given to someone other than his wife... A courtier is having an affair!;;;;;;;;;;;Çàòÿíóâøèéñÿ âçãëÿä, ë¸ãêèå, ïî÷òè íåçàìåòíûå ïðèêîñíîâåíèÿ, òàéíûå óëûáêè ïðåäíàçíà÷åííûå êîìó-òî, íî íå æåíå... îäèí èç ïðèäâîðíûõ èìååò ëþáîâíóþ ñâÿçü!;;x
EVTDESC69031;We hadn't been as discreet as we had hoped, [Root.GetTitledFirstName] confronted me about the adultery I had committed with the beautiful lady at the court.;;;;;;;;;;;Ìû áû íå áûëè òàê îñòîðîæíû, êàê õîòåëîñü. [Root.GetTitledFirstName] çíàåò î ñâÿçè ñ êðàñèâîé äàìîé ïðè äâîðå, êîòîðóþ ÿ ñåáå ïîçâîëèë[Root.GetEndA].;;x
EVTDESC69032;When [From.GetTitledFirstName] denied that [From.GetSheHe] had committed adultery I was stunned, I had been so sure of what I had seen that it had never occurred to me that I might be wrong. I apologised and [From.GetTitledFirstName] accepted the apology with a frown.;;;;;;;;;;;Êîãäà [From.GetTitledFirstName] ñòàë[From.GetEndA] îòðèöàòü òîò ôàêò, ÷òî ñîâåðøèë[From.GetEndA] ïðåëþáîäåÿíèå, ÿ áûë[Root.GetEndA] ïîòðÿñåí[Root.GetEndA]. ß áûë[Root.GetEndA] òàê óâåðåí[Root.GetEndA] â óâèäåííîì, ÷òî ìíå â ãîëîâó íå ìîãëî ïðèäòè, ÷òî ÿ ìîãó áûòü íåïðàâ[Root.GetEndA]. ß èçâèíè[Root.GetLasLsya] è [From.GetTitledFirstName] ïðèíÿë[From.GetEndA] èçâèíåíèÿ, íàõìóðèâøèñü.;;x
EVTDESC69033;When [From.GetTitledFirstName] told me about my husband [From.GetFirstName]'s little affair with some unknown women I was furious! My rage had subsided a bit when I finally found my cheating husband, but as I saw him admiring the bosom of yet another clueless little strumpet the rage grew once again.;;;;;;;;;;;Êîãäà [From.GetTitledFirstName] ðàññêàçàë[From.GetEndA] ìíå, ÷òî ì[From.GetOyaOy] [From.GetHusbandWife], [From.GetFirstName], çàâåë[From.GetEndA] íåáîëüøóþ èíòðèæêó ñ íåèçâåñòíîé æåíùèíîé, ÿ áûë[Root.GetEndA] â ÿðîñòè! Ìîé ãíåâ íåìíîãî óòèõ, ïîêà ÿ èñêàë[Root.GetEndA] ñâîåãî ëæèâîãî ìóæåíüêà, íî ïîñêîëüêó ÿ óâèäåë[Root.GetEndA] [From.GetHersHis] â òîò ìîìåíò, êîãäà [From.GetSheHe] ëþáîâà[From.GetLasLsya] ãðóäüþ åù¸ îäíîé òóïîé ìàëåíüêîé øëþøêè, ÿðîñòü çàêèïåëà âíîâü.;;x
EVTDESC69034;The fury in [From.GetTitledFirstName]'s eyes scared me nearly to death and when [From.GetSheHe] started screaming and cursing at me I wished I was dead.;;;;;;;;;;;[From.GetTitledFirstName], òî åñòü - ÿðîñòü â [From.GetHersHis] ãëàçàõ, íàïóãàëà ìåíÿ äî ïîëóñìåðòè, è, êîãäà [From.GetHersHis] íà÷àë[From.GetEndA] êðè÷àòü è ðóãàòü ìåíÿ, ÿ õîòåë[Root.GetEndA] óìåðåòü.;;x
EVTDESC69035;[From.GetTitledFirstName] forgave me for my little indiscretion but I could see how much it had hurt her. I promised and swore that I would never commit adultery again, ever again.;;;;;;;;;;;[From.GetTitledFirstName] ïðîñòèë[From.GetEndA] ìåíÿ çà ìîþ ìàëåíüêóþ èíòðèæêó, íî ÿ âèäåë, êàê ìíîãî áîëè ïðè÷èíèë [From.GetHersHis]. ß îáåùàë[Root.GetEndA] è êëÿ[Root.GetLasLsya], ÷òî íèêîãäà áîëüøå íå èçìåíþ, íèêîãäà.;;x
EVTDESC69036;[From.GetTitledFirstName] was direct: if I did not pay [From.GetHerHim] to keep quiet, [From.GetTitledFirstName] would make sure everyone in the court would know about my little affair with one of the court ladies.;;;;;;;;;;;[From.GetTitledFirstName] áûë îòêðîâåí[From.GetNaEn]: åñëè ÿ íå çàïëà÷ó [From.GetHerHim] çà ìîë÷àíèå, [From.GetTitledFirstName] ïîñòàðàåòñÿ, ÷òîáû âñå ïðè äâîðå çíàëè î ìîåé èíòðèæêå ñ îäíîé èç ïðèäâîðíûõ äàì.;;x
EVTDESC69038;I came home one evening and found that my wife [Root.Spouse.GetTitledFirstName] had told our children about my affair and now they all refuse to speak to me!;;;;;;;;;;;ß ïðèø¸ë äîìîé âå÷åðîì è îáíàðóæèë, ÷òî ìîÿ æåíà, [Root.Spouse.GetTitledFirstName], ðàññêàçàëà íàøèì äåòÿì î ìîåé èçìåíå, è òåïåðü îíè... îòêàçûâàþòñÿ ãîâîðèòü ñî ìíîé!;;x
EVTDESC69039;The voices could be heard through the walls and I recognized them as belonging to my wife and my mistress. My wife [Root.Spouse.GetTitledFirstName] tried to make my mistress break up with me, but she refused so I decided to step in...;;;;;;;;;;;Ãîëîñà áûëè ñëûøíû ñêâîçü ñòåíó, è ÿ óçíàë â íèõ ãîëîñà ìîåé æåíû è ìîåé ëþáîâíèöû. Ìîÿ æåíà, [Root.Spouse.GetTitledFirstName], ïîïûòàëñÿ óáåäèòü ëþáîâíèöó ïîðâàòü ñî ìíîé, íî òà îòêàçàëàñü. ß óäàëèëñÿ íà öûïî÷êàõ...;;x
EVTDESC69040;I knocked on the door and heard him swear when something was knocked to the floor and broke, by the sound of it. When he finally called 'Come in!' I opened the door and saw the messy room, filled with weird looking glasses, stuffed exotic animals and the man I was visiting in the middle of the mess with singed eyebrows.;;;;;;;;;;;"ß ïîñòó÷àë[Root.GetEndA] â äâåðü è óñëûøàë[Root.GetEndA] [This.GetHersHis] ðóãàíü, êîãäà ÷òî-òî ïîâàëèëîñü íà ïîë è ðàçáèëîñü, ñóäÿ ïî çâóêó. Êîãäà, íàêîíåö, [This.GetSheHe] ñêàçàë[This.GetEndA] ""Âîéäèòå!"", ÿ îòêðûë[Root.GetEndA] äâåðü è óâèäåë[Root.GetEndA] ãðÿçíóþ êîìíàòó, çàáèòóþ ñòðàííûìè î÷êàìè, ÷ó÷åëàìè ýêçîòè÷åñêèõ æèâîòíûõ, è ÷åëîâåêà ñ îïàë¸ííûìè áðîâÿìè, ê êîòîðîìó ÿ ïðèø[Root.GetLaYol], â öåíòðå âñåãî ýòîãî áåñïîðÿäêà.";;x
EVTDESC69041;My latest experiment went a bit badly and I was trying to clean up the mess when someone knocked on the door. [From.GetTitledFirstName] entered and saw the mess I was standing in, with my singed eyebrows and the remains of my experiment spread all over the room. It didn't take long before [From.GetSheHe] accused me of dealing with the occult!;;;;;;;;;;;Ìîé ïîñëåäíèé ýêñïåðèìåíò ïðîø¸ë ñîâñåì íå áëåñòÿùå. ß ïûòàëñÿ íàâåñòè ïîðÿäîê, êîãäà êòî-òî ïîñòó÷àë â äâåðü. [From.GetTitledFirstName] âîø¸ë è óâèäåë óæàñíûé áàðäàê, ïîñðåäè êîòîðîãî ñòîÿë ÿ ñ îïàë¸ííûìè áðîâÿìè, à òàêæå óçðåë òî, ÷òî îñòàëîñü îò ìîåãî ýêñïåðèìåíòà, ðàñêèäàííîå ïî âñåé êîìíàòå. Íå ïîíàäîáèëîñü ìíîãî âðåìåíè íà òî, ÷òîáû îí îáâèíèë ìåíÿ â îêêóëüòèçìå!;;x
EVTDESC69042;I could hardly believe my ears when [From.GetTitledFirstName] tried to pressure me into giving [From.GetHerHim] money to keep quiet about my dealings with the occult!;;;;;;;;;;;ß ñ òðóäîì ïîâåðèë ñâîèì óøàì, êîãäà [From.GetTitledFirstName] ïîïûòàëñÿ îêàçàòü äàâëåíèå íà ìåíÿ, íàìåêàÿ, ÷òî ÿ äîëæåí ïëàòèòü åìó çîëîòîì çà ìîë÷àíèå î ìîèõ çàíÿòèÿõ îêêóëüòèçìîì!;;x
EVTDESC69044;A child has gone missing and it seems as if everyone suspects me to have something to do with that. Apparently being a suspected occultist everyone believes I might use the entrails of children to read the future. Pah!;;;;;;;;;;;Ïðîïàë ðåá¸íîê è, êàæåòñÿ, âñå ïîäîçðåâàþò, ÷òî îí ó ìåíÿ. Äóìàþò, ÷òî ÿ ðåøèë ÷òî-òî ñäåëàòü ñ íèì. Âèäèìî, êàæäûé èç ïîäîçðåâàþùèõ âî ìíå îêêóëüòèñòà ñ÷èòàåò, ÷òî ÿ âïîëíå ìîãó èñïîëüçîâàòü äåòåé äëÿ ãàäàíèÿ ïî âíóòðåííîñòÿì. Òüôó!;;x
EVTDESC69045;The voice woke me up, whispering about spells to awaken the dead, curses to make your enemy go blind and potions to make anyone fall in love with you...;;;;;;;;;;;Ãîëîñ ðàçáóäèë ìåíÿ, íàø¸ïòûâàÿ çàêëèíàíèÿ, ïðîáóæäàþùèå ì¸ðòâûõ, ïðîêëÿòèÿ, îñëåïëÿþùèå âðàãîâ, è ðåöåïòû ïðèâîðîòíûõ çåëèé...;;x
EVTDESC69046;My confessor talked sternly to me, clearly avoiding to bring up the occultist rumor but as I just nodded and accepted all he told me without admitting to anything, he lost his patience with me. He scolded me and told me to repent, to stop fiddling with the occult or else...;;;;;;;;;;;Ìîé èñïîâåäíèê ñåðü¸çíî ãîâîðèë ñî ìíîé, ÿâíî èçáåãàÿ îáñóæäåíèÿ ñëóõîâ î çàíÿòèè ìíîé îêêóëüòèçìîì, îæèäàÿ ïðèçíàíèÿ ñ ìîåé ñòîðîíû, íî, ïîñêîëüêó ÿ òîëüêî êèâíóë è ïðèíÿë âñ¸, ÷òî îí ñêàçàë ìíå, íå ïðèçíàâàÿñü íè â ÷åì, îí ïîòåðÿë ñâî¸ òåðïåíèå. Îí îáðóãàë ìåíÿ, ïðèêàçàâ ðàñêàÿòüñÿ è ïðåêðàòèòü èãðû ñ îêêóëüòèçìîì, èíà÷å...;;x
EVTDESC69047;I had only managed to remember one of the many spells and invocations the voice had whispered to me in the dark. It was long and complicated with many different ingredients, not all easy to acquire...;;;;;;;;;;;ß ñìîã âñïîìíèòü òîëüêî îäèí èç ìíîãî÷èñëåííûõ îáðÿäîâ è çàêëèíàíèé, î êîòîðûõ ãîëîñ øåïòàë ìíå â òåìíîòå. Îáðÿä äîëîã è òðåáóåò ðàçíûõ èíãðåäèåíòîâ, íå âñå èç êîòîðûõ ëåãêî ïðèîáðåñòè...;;x
EVTDESC69050;The diplomatic skill of [Root.GetMyChancellorName] [Root.job_chancellor.GetTitledFirstName] is deplorable! No matter what task I give [Root.job_chancellor.GetHerHim] [Root.job_chancellor.GetSheHe] always manage to disappoint.;;;;;;;;;;;[Root.GetMyChancellorName] [Root.job_chancellor.GetTitledFirstName] îáëàäàåò âåñüìà ïîñðåäñòâåííûìè ñïîñîáíîñòÿìè â äèïëîìàòè÷åñêîì èñêóññòâå! Íåçàâèñèìî îò òîãî, êàêóþ çàäà÷ó ÿ ïîñòàâëþ, [Root.job_chancellor.GetSheHe] âñåãäà óìóäðÿåòñÿ ðàçî÷àðîâàòü.;;x
EVTDESC69051;[From.GetTitledFirstName] claims my diplomatic skill is deplorable! No matter how hard I work, [From.GetTitledFirstName] is never satisfied and [From.GetHerHis] demands are preposterous!;;;;;;;;;;;[From.GetTitledFirstName] ãîâîðèò, ÷òî ìî¸ äèïëîìàòè÷åñêîå ìàñòåðñòâî äîñòîéíî ñîæàëåíèÿ! Íåâàæíî, êàê õîðîøî ÿ ðàáîòàþ, [From.GetTitledFirstName] âñåãäà âûêàçûâàåò íåäîâîëüñòâî, [From.GetHersHis] òðåáîâàíèÿ íåëåïû!;;x
EVTDESC69052;I have to trust Marshal [Root.job_marshal.GetTitledFirstName] to train my troops and to be able to suppress revolts but [Root.job_marshal.GetSheHe] has not proved to be adept in those manners. [Root.job_marshal.GetTitledFirstName] have to shape up or I need to find another Marshal.;;;;;;;;;;;Íóæíî óáåäèòüñÿ â òîì, ÷òî [Root.GetMarshalName] [Root.job_marshal.GetFirstName] ñìîæåò òðåíèðîâàòü ìî¸ âîéñêî è ïîäàâëÿòü âîññòàíèÿ, íî [Root.job_marshal.GetSheHe] íå êàæåòñÿ ÷åëîâåêîì, ñâåäóùèì â ýòîì. [Root.job_marshal.GetTitledFirstName] äîëæåí ïîðàáîòàòü íàä ñîáîé, èëè ìíå ïðèä¸òñÿ íàéòè äðóãîãî.;;x
EVTDESC69053;I know I have failed [From.GetTitledFirstName]'s expectations for what a Marshal should be able to do, but if only [From.GetSheHe] could give me a chance I would show [From.GetHerHim] that I do not lack in martial skill!;;;;;;;;;;;ß çíàþ, ìíå íå óäàëîñü îïðàâäàòü íàäåæäû, êîòîðûå ïèòàåò [From.GetTitledFirstName] íà òî, ÷òî ÿ, êàê [From.GetMarshalName], äîëæåí óìåòü äåëàòü. Íî åñëè áû òîëüêî ìíå äàëè øàíñ, ÿ áû ïîêàçàë, ÷òî ÿ íå òàêîé óæ ïðîôàí â âîèíñêîì èñêóññòâå!;;x
EVTDESC69054;I sent Steward [Root.job_treasurer.GetTitledFirstName] to oversee construction in a county - and the building fell apart almost instantly. Then I sent him to collect taxes in one of the richest provinces and [Root.job_treasurer.GetSheHe] returned with much less than I had anticipated. [Root.job_treasurer.GetTitledFirstName] clearly lacks the stewardship skill needed to perform even the simplest of tasks!;;;;;;;;;;;[Root.GetTreasurerName] [Root.job_treasurer.GetTitledFirstName] ïî ìîåìó óêàçó îòïðàâëåí äëÿ íàáëþäåíèÿ çà ñòðîèòåëüñòâîì â îêðóãå è... çäàíèå ðàçâàëèëîñü ïî÷òè ìãíîâåííî. À îòïðàâèâøèñü ñîáèðàòü íàëîãè â îäíîì èç ñàìûõ áîãàòûõ îêðóãîâ, îïÿòü ðàçî÷àðîâàë - êàçíà ïîïîëíèëàñü íà ãîðàçäî ìåíüøóþ ñóììó ÷åì îæèäàëîñü. [Root.job_treasurer.GetTitledFirstName] î÷åâèäíî íå îáëàäàåò íàâûêàìè, íåîáõîäèìûìè äëÿ âûïîëíåíèÿ äàæå ñàìûõ ïðîñòûõ çàäà÷!;;x
EVTDESC69055;It was not my fault the builders had used inferior materials for the building, nor that the locals managed to swindle us on most of the taxes. Still, my liege [From.GetTitledFirstName] aren't too happy with me as a Steward and I do not blame him.;;;;;;;;;;;Ìîåé âèíû íåò íè â òîì, ÷òî ñòðîèòåëè èñïîëüçîâàëè õóäøèå ìàòåðèàëû äëÿ âîçâåäåíèÿ çäàíèÿ, íè â òîì, ÷òî ìåñòíûå æèòåëè óìóäðèëèñü óòàèòü îò íàñ áîëüøóþ ÷àñòü íàëîãîâ. Òåì íå ìåíåå, ìîé ñþçåðåí, [From.GetTitledFirstName], íå ñëèøêîì äîâîëåí ìíîé, êàê ñâîèì ñîâåòíèêîì, è ÿ íå âèíþ [From.GetHersHis] çà ýòî.;;x
EVTDESC69056;An efficient Spymaster must be able to uncover plots. Spymaster [Root.job_spymaster.GetTitledFirstName] did not even manage to uncover a plot which was being planned right under [Root.job_spymaster.GetHerHis] nose!;;;;;;;;;;;[Root.GetSpymasterName] äîëæåí áûòü â ñîñòîÿíèè ðàñêðûâàòü çàãîâîðû. Òàéíûé æå ñîâåòíèê [Root.job_spymaster.GetTitledFirstName], íå ñìîã ðàñêðûòü çàãîâîð äàæå òîãäà, êîãäà îí ïëàíèðîâàëñÿ ïðÿìî ó íåãî ïîä íîñîì!;;x
EVTDESC69057;I was so ashamed when the plot unfurled in front of my nose when I hadn't even noticed that something was going on. It was right of [From.GetTitledFirstName] to chastise me, but still, it hurt...;;;;;;;;;;;Ìíå áûëî óæàñíî ñòûäíî, êîãäà çàãîâîð ïðîâåðíóëè ïðÿìî ó ìåíÿ ïîä íîñîì, à ÿ äàæå íå çàìåòèë òîãî, ÷òî ïðîèñõîäèò. [From.GetTitledFirstName] â ñâî¸ì ïðàâå, âûñêàçûâàÿ íåäîâîëüñòâî ìíîé, íî âñå ðàâíî, îáèäíî...;;x
EVTDESC69058;It seems to me [Root.job_spiritual.GetTitledFirstName] isn't as pious as [Root.job_spiritual.GetSheHe] claims to be. Instead of improving relations with the [Root.Religion.GetName] Church, [Root.job_spiritual.GetTitledFirstName] managed to make an utter fool out of [Root.job_spiritual.GetHerselfHimself] and, indirectly, me!;;;;;;;;;;;Ìíå êàæåòñÿ, ÷òî [Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] íå íàñòîëüêî áëàãî÷åñòèâ[Root.job_spiritual.GetEndA], êàê óòâåðæäàåò. Âìåñòî òîãî, ÷òîáû óëó÷øèòü îòíîøåíèÿ ñ [Root.GetRelAdj]ñêèì äóõîâåíñòâîì, [Root.job_spiritual.GetTitledFirstName] óìóäðè[Root.job_spiritual.GetLasLsya] âûñòàâèòü ñåáÿ è, êîñâåííî, ìåíÿ â äóðíîì ñâåòå!;;x
EVTDESC69059;[Root.GetTitledFirstName] was a bit too harsh when [Root.GetSheHe] chastised me for ruining the relations with the local clergy! Although, I admit, I should probably have chosen less unconventional ways of assuring their support...;;;;;;;;;;;[Root.GetTitledFirstName] áûë ñëèøêîì ñóðîâ, êîãäà óïðåêàë ìåíÿ çà ïîãóáëåííûå îòíîøåíèÿ ñ ìåñòíûì äóõîâåíñòâîì! Õîòÿ ÿ, ïðèçíàþñü, äîëæåí áûë, íàâåðíîå, âûáðàòü ìåíåå íåòðàäèöèîííûå ñïîñîáû ïîèñêà èõ ïîääåðæêè...;;x
