#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
evt_TITLE_LT_61006;By Any Other Name;;;;;;;;;;;Äðóãîå èìÿ;;x
EVTDESC_LT_10103_C;"During supper, my [upbeat_courtier.GetRootRelation] [upbeat_courtier.GetTitledFirstName] stands up and clears [upbeat_courtier.GetHerHis] throat. ""My [Root.GetLordLady], there are many of us who want to thank you for your hospitality, in these trying times. It is not all who would find lodgings for as many as you have managed to, [Root.GetMasterMistress].""";;;;;;;;;;;"Âî âðåìÿ óæèíà [upbeat_courtier.GetTitledFirstName] âñòàë[upbeat_courtier.GetEndA] è ñ òîðæåñòâåííûì âèäîì çàÿâèë[upbeat_courtier.GetEndA]:\n""[Root.PrimaryTitle.GetFOA], ìíîãèå èç íàñ õîòåëè áû ëè÷íî ïîáëàãîäàðèòü Âàñ çà ãîñïåïðèèìñòâî â ñòîëü òðóäíûé ÷àñ. Çäåñü íåëåãêî íàéòè ìåñòî äëÿ âñåõ.""";;x
EVTOPTA_LT_61006;You deserve a good name!;;;;;;;;;;;Êîíå÷íî! Âû ýòî çàñëóæèëè!;;x
EVTOPTA_LT_61008;Yes. May you find luck elsewhere!;;;;;;;;;;;Ñ÷àñòëèâîãî ïóòè.;;x
EVTOPTA_LT_10103;Aaw, but I actually like sleeping out in the stables sometimes!;;;;;;;;;;;Èíîãäà ìíå íðàâèòñÿ ñïàòü â êîíþøíå.;;x
EVTOPTB_LT_61006;Hm, what about...;;;;;;;;;;;Õì, à êàê íàñ÷¸ò...;;x
EVTOPTB_LT_61008;No, I have changed my mind.;;;;;;;;;;;Íåò. Âû îñòàíåòåñü çäåñü.;;x
EVTOPTB_LT_10103;Aaah, but there is strength in numbers, my [upbeat_courtier.GetRootRelation].;;;;;;;;;;;Çàòî íàñ ìíîãî, è ýòî õîðîøî.;;x
EVTOPTC_LT_61006;Oh, you'll get a nickname alright!;;;;;;;;;;;Õîðîøî, áóäåò Âàì ïðîçâèùå!;;x
EVTOPTC_LT_10103;I simply enjoy everyone's company, dear [upbeat_courtier.GetFirstName]!;;;;;;;;;;;ß ëèøü íàñëàæäàþñü ïðèÿòíîé êîìïàíèåé!;;x
EVTOPTC_LT_10103_cruel;More people means more resources for... Anything we might require.;;;;;;;;;;;Áîëüøå ëþäåé çíà÷èò áîëüøå ñðåäñòâ äëÿ... âñåãî íåîáõîäèìîãî.;;x
EVTOPTD_LT_61006;I have more important things to do.;;;;;;;;;;;Ó ìåíÿ åñòü äåëà ïîâàæíåå!;;x
EVTOPTD_LT_10103_A;A toast to you, my good [upbeat_courtier.GetManWoman]! You are all important to me.;;;;;;;;;;;Ïðåäëàãàþ òîñò çà âàñ âñåõ! Êàæäûé èç âàñ âàæåí äëÿ ìåíÿ.;;x
EVTOPTD_LT_10103_B;Oh, [upbeat_courtier.GetRootRelation]. You are all important to me, is all.;;;;;;;;;;;Äîðîã[upbeat_courtier.GetAyaOy] [upbeat_courtier.GetRootRelation], Âû âñå âàæíû äëÿ ìåíÿ.;;x
