#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC_GBC_1;[GBC_dead_one.GetTitledFirstName] died from the plague. Oh noes!;;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñ ïðèñêîðáèåì âûíóæäåíû ñîîáùèòü, ÷òî ìèíóâøèì óòðîì [GBC_dead_one.GetTitledFirstName] ñêîí÷à[GBC_dead_one.GetLasLsya] îò ÷óìû.;;x
EVTDESC_GBC_12_B;"The two of you haven't spent that much time together recently, so you are a little surprised when [GBC_new_friend.GetTitledName] joins you for breakfast one morning. The expression on [GBC_new_friend.GetHerHis] face is a mixture of joy and embarrassment and [GBC_new_friend.GetSheHe] eats [GBC_new_friend.GetHerHis] food slowly, almost hesitantly, as if [GBC_new_friend.GetSheHe] is about to say something but is having trouble phrasing [GBC_new_friend.GetHerselfHimself]. \n\n""I thought I was dying"" [GBC_new_friend.GetSheHe] says finally, making your hand and drink stop mid-air.\n""Dying?"" you repeat. \n""Nonsense, of course, it was simply a fever"" [GBC_new_friend.GetSheHe] continues, flushing a little. ""I'm sorry if I worried you.""";;;;;;;;;;;"Â ïîñëåäíåå âðåìÿ âû ðåäêî îáùàëèñü äðóã ñ äðóãîì, ïîýòîìó Âàñ óäèâèëî, êîãäà [GBC_new_friend.GetTitledName] ïðèñîåäèíè[GBC_new_friend.GetLasLsya] ê Âàì çà çàâòðàêîì. [GBC_new_friend.GetHersHisCap] ëèöî âûðàæàëî íåêîòîðóþ ñìåñü ðàäîñòè è ñìóùåíèÿ. Åë[GBC_new_friend.GetEndA] [GBC_new_friend.GetSheHe] ìåäëåííî è íåóâåðåííî, êàê áóäòî õîòåë[GBC_new_friend.GetEndA] ÷òî-òî ñêàçàòü.\n""Çíàåøü... ß äóìàë[GBC_new_friend.GetEndA], ÷òî óìèðàþ..."", — â êîíöå êîíöîâ âûìîëâèë[GBC_new_friend.GetEndA] [GBC_new_friend.GetSheHe], âûíóäèâ Âàñ îñòàíîâèòü ñâîþ ðóêó íà ïîëïóòè êî ðòó.\n""Óìèðàåøü?"" — ïîâòîðèëè Âû.\n""Åðóíäà, îêàçàëîñü, îáû÷íàÿ ëèõîðàäêà, — ïðîäîëæèë[GBC_new_friend.GetEndA] [GBC_new_friend.GetSheHe], ïîêðàñíåâ. — Ïðîñòè, ÷òî äàë[GBC_new_friend.GetEndA] òåáå ïîâîä âîëíîâàòüñÿ"".";;x
EVTDESC_GBC_13_A;For fear of contagion the physician wouldn't let you see [GBC_new_friend.GetTitledName] as [GBC_new_friend.GetSheHe] lay on [GBC_new_friend.GetHerHis] deathbed. Maybe it doesn't matter. Even though [GBC_new_friend.GetFirstName] must have known that [GBC_new_friend.GetSheHe] was on your mind, you ordered every choir in [Root.Capital.GetName] to take up residence in the main hall for an indefinite period of time - they were to perform [GBC_new_friend.GetFirstName]'s favorite hymns until [GBC_new_friend.GetSheHe] had safely passed over to the next world, knowing that [GBC_new_friend.GetSheHe] was loved in this one.;;;;;;;;;;;"Îïàñàÿñü çàðàæåíèÿ, ëåêàðü çàïðåòèë Âàì âõîäèòü. ""[GBC_new_friend.GetTitledName] ñåðü¸çíî áîë[GBC_new_friend.GetNaEn]. Ïîíèìàþ, Âû õîòèòå ïîïðîùàòüñÿ, ïîêà [GBC_new_friend.GetSheHe] åù¸ ñ íàìè, íî ýòî ñëèøêîì îïàñíî."" — ñêàçàë îí. Ìîæåò ýòî è íå âàæíî, íî [GBC_new_friend.GetFirstName] äîëæ[GBC_new_friend.GetNaEn] çíàòü, ÷òî Âû áåñïîêîèòåñü î í[GBC_new_friend.GetEyYom]. Â ãëàâíîì çàëå Âû ñîáðàëè [Root.Capital.County.GeAdjective]ñêèé õîð, îíè áóäóò ïåòü [GBC_new_friend.GetHersHis] ëþáèìûå ãèìíû, ïîêà [GBC_new_friend.GetSheHe] íå ïåðåéä¸ò ëó÷øèé ìèð, çíàÿ, ÷òî î í[GBC_new_friend.GetEyYom] ïîìíÿò.";;x
EVTDESC_GBC_13_B;"[GBC_new_friend.GetTitledName] did not ask for you as [GBC_new_friend.GetSheHe] lay on [GBC_new_friend.GetHerHis] deathbed. Maybe it doesn't matter. [GBC_new_friend.GetSheHeCap] probably knew you had important matters to see to, places and meetings to attend. Yet the work in [Root.Location.GetName] could have waited, couldn't it? After all, you were kin and [GBC_new_friend.GetSheHe] should have had somebody by [GBC_new_friend.GetHerHis] side as she ascended into the realm of [Root.Religion.GetHighGodName].\n\nThe physician says [GBC_new_friend.GetSheHe] went quietly, in [GBC_new_friend.GetHerHis] sleep, [GBC_new_friend.GetHerHis] last words uttered simply being: ""I'm tired. Let me rest.""";;;;;;;;;;;"[GBC_new_friend.GetTitledName] íå ïîñëàë[GBC_new_friend.GetEndA] çà Âàìè, êîãäà îêàçà[GBC_new_friend.GetLasLsya] íà ñìåðòíîì îäðå. Ìîæåò ýòî è íå âàæíî. [GBC_new_friend.GetSheHeCap] çíàåò, ÷òî ó Âàñ åñòü âàæíûå âñòðå÷è è ïîåçäêè. Îäíàêî, [Root.Location.County.GetAdjective]ñêèå äåëà ìîãóò ïîäîæäàòü. Â êîíöå êîíöîâ, âû - ðîäñòâåííèêè, êòî-òî áëèçêèé äîëæåí áûòü ðÿäîì è ïîääåðæèâàòü â òàêîé ìîìåíò.\nËåêàðü ñêàçàë, ÷òî ñìåðòü ïðèøëà òèõî, âî ñíå. [GBC_new_friend.GetHersHisCap] ïîñëåäíèå ñëîâà: ""ß óñòàë[GBC_new_friend.GetEndA]. Ïîðà îòäîõíóòü"".";;x
EVTDESC_GBC_17_A;When [GBC_new_friend.GetTitledFirstName] invited me hunting, I was thrilled! [GBC_new_friend.GetSheHeCap] seemed a little nervous to make eye contact with me at first, but we quickly fell into our old banter. I was also introduced to [Root.GetFirstName], [GBC_new_friend.GetFirstName]'s new falcon! If that [GBC_new_friend.GetManWoman] is ill [GBC_new_friend.GetSheHe]'s hiding it well.;;;;;;;;;;;Êîãäà [GBC_new_friend.GetTitledFirstName] ïðèãëàñèë[GBC_new_friend.GetEndA] ìåíÿ íà îõîòó, ÿ áûë[Root.GetEndA] î÷åíü ðàä[Root.GetEndA]. Ïîíà÷àëó [GBC_new_friend.GetSheHe] íåìíîãî íåðâíè÷àë[GBC_new_friend.GetEndA], íî âñêîðå ìû âåðíóëèñü ê ïðåæíåé íåïðèíóæä¸ííîñòè. ß ïîçíàêîìè[Root.GetLasLsya] ñ [GBC_new_friend.GetHersHis] íîâûì ñîêîëîì ïî èìåíè [Root.GetFirstName]! Åñëè [GBC_new_friend.GetSheHe] è áîë[GBC_new_friend.GetSoftNaEn], òî óìåëî ýòî ñêðûâàåò.;;x
EVTDESC_GBC_17_B;When [GBC_new_friend.GetTitledFirstName] invited me hunting, I hesitated. I guess I've sort of been avoiding [GBC_new_friend.GetHerHim] since our last conversation, but my heart said it's time I forgive [GBC_new_friend.GetHerHis] break-down. While it was fun and [GBC_new_friend.GetSheHe] showed me [GBC_new_friend.GetHerHis] new falcon, I wish [GBC_new_friend.GetSheHe]'d talk to me about what is tormenting [GBC_new_friend.GetHerHim].;;;;;;;;;;;Ïðèçíàþñü, êîãäà [GBC_new_friend.GetTitledFirstName] ïðèãëàñèë[GBC_new_friend.GetEndA] ìåíÿ íà îõîòó, ÿ áûë[Root.GetEndA] â çàìåøàòåëüñòâå. Ìû èçáåãàëè äðóã äðóãà ñ òîãî ñàìîãî ðàçãîâîðà, íî ÷òî-òî ìíå ïîäñêàçûâàåò - ïîðà ïðîñòèòü [GBC_new_friend.GetHersHis]. Êîíå÷íî, áûëî âåñåëî, ÿ ïîçíàêîìè[Root.GetLasLsya] ñ [GBC_new_friend.GetHersHis] íîâûì ñîêîëîì ïî èìåíè [Root.GetFirstName]. Íî äóìàþ, [GBC_new_friend.GetHersHis] ÷òî-òî ãëîæåò, è ìû äîëæíû ïîãîâîðèòü îá ýòîì.;;x
EVTDESC_GBC_73;"My councillor [GBC_nice_councillor.GetFirstName] raised an eyebrow at me during a meeting today. ""I've noticed your kins[GBC_new_friend.GetManWoman] [GBC_new_friend.GetFirstName] has been visiting you more often, my [Root.GetLordLady]. I wasn't aware you two were close?""";;;;;;;;;;;"Ñåãîäíÿ íà çàñåäàíèè ì[GBC_nice_councillor.GetOyaOy] ñîâåòíè[GBC_nice_councillor.GetTsaK] [GBC_nice_councillor.GetFirstName], íàõìóðèâ áðîâè, âûñêàçàë[GBC_nice_councillor.GetEndA] ñâîè çàìå÷àíèÿ: ""[Root.PrimaryTitle.GetFOA], íå ìîãó íå çàìåòèòü, ÷òî Âàø[GBC_new_friend.GetEndA] ðîäñòâåííè[GBC_new_friend.GetTsaK] [GBC_new_friend.GetFirstName] ïîñåùàåò Âàñ ãîðàçäî ÷àùå îáû÷íîãî. Íå çíàë[GBC_nice_councillor.GetEndA], ÷òî âû ñòîëü áëèçêè"".";;x
EVTDSC_GBC_102;Today is the day. The one I've been dreading. While I have kept my appearances up throughout the ceremony, a paralyzing doubt is gnawing at my soul. My new [gbc_spouse.GetHusbandWife], [gbc_spouse.GetFirstName], is certainly a good match - but is that all there is to it? I know people like us never marry for love, but why does the [Root.Religion.GetPriestTitle] talk of such things? I fear dying without ever having known true love. \n\nDuring the following wedding feast I feel as if I am moving through thick fog, mechanically repeating the motions, just as I have been taught. \n\nThat is, until I see [gbc_lover.GetHerHim]. [gbc_lover.GetHerHisCap] pealing laughter and radiating smile breaks through the numbness, like a Cupid's arrow lodging itself deep in my heart. ;;;;;;;;;;;Ñåãîäíÿ òîò ñàìûé äåíü, êîòîðîãî ÿ òàê áîÿ[Root.GetLasLsya]. ß âåë[Root.GetEndA] ñåáÿ äîñòîéíî â òå÷åíèå âñåé öåðåìîíèè, íî ñîìíåíèÿ âñ¸ åù¸ ïðîäîëæàþò òåðçàòü ìîþ äóøó. Ì[gbc_spouse.GetOyaOy] íîâ[gbc_spouse.GetAyaYy] [gbc_spouse.GetHusbandWife] [gbc_spouse.GetFirstName] - îïðåäåë¸ííî õîðîøàÿ ïàðòèÿ, è ýòî âñ¸, ÷òî ÿ ìîãó ñêàçàòü î í[gbc_spouse.GetEyYom]. Òàêèå êàê ìû íèêîãäà íå çàêëþ÷àþò áðàêè ïî ëþáâè, íî ïî÷åìó [Root.Religion.GetPriestTitle] ãîâîðèò î òàêèõ âåùàõ? Áîþñü, ÿ óìðó òàê è íå ïîçíàâ íàñòîÿþùóþ ëþáîâü.\nÍà ñâàäåáíîì óæèíå ÿ, êàê â òóìàíå, äåéñòâîâàë[Root.GetEndA] áåññîçíàòåëüíî, ñëîâíî çàâîäíàÿ èãðóøêà.\nÍî âîò ïîÿâè[gbc_lover.GetLasLsya] [gbc_lover.GetSheHe]. [gbc_lover.GetHersHisCap] çâîíêèé ñìåõ è îñëåïëÿþùàÿ óëûáêà ïðîáèëèñü ñêâîçü òüìó áåçûñõîäíîñòè, êàê ñòðåëà Êóïèäîíà, ïîðàçèâ ìåíÿ â ñàìîå ñåðäöå.;;x
EVTDSC_GBC_104;While taking a break from dancing I have received the opportunity to converse with [gbc_lover.GetLordLady] [gbc_lover.GetFirstName]. I am not disappointed. [gbc_lover.GetHerHisCap] wit, [gbc_lover.GetHerHis] beauty, [gbc_lover.GetHerHis] charm! I do not want the moment to end, but [gbc_lover.GetHerHis] [gbc_lover.GetHusbandWifeOpp] [gbc_rival.GetTitledFirstName] is approaching...;;;;;;;;;;;Â ïåðåðûâå ìåæäó òàíöàìè ó ìåíÿ áûëà âîçìîæíîñòü íåìíîãî ïîîáùàòüñÿ ñ ãîñòÿìè. [From.GetFirstName] ïîäîø[From.GetLaYol] êî ìíå è ìû ïîãîâîðèëè. Ýòî áûëî ïðåêðàñíî. [From.GetSheHeCap] óì[From.GetNaEn], êðàñèâ[From.GetEndA] è îáàÿòåë[From.GetSoftNaEn]! Õîòåë[Root.GetEndA] áû ÿ, ÷òîáû ýòî ïðîäîëæàëîñü âå÷íî, íî [From.GetHersHis] [From.GetHusbandWifeOpp] [gbc_rival.GetTitledFirstName] íàïðàâè[gbc_rival.GetLasLsya] â íàøó ñòîðîíó.;;x
EVTDSC_GBC_106;Tonight I was visited by [gbc_lover.GetFirstName] in my dreams. When I woke up I could still hear [gbc_lover.GetHerHis] velvet voice echo in my ears and feel the comforting weight of [gbc_lover.GetHerHis] hand in mine. Oh, graceful angel! Most [gbc_lover.GetAdultCompliment]. My heart aches for you!;;;;;;;;;;;Ñåãîäíÿ [From.GetFirstName] ÿâè[From.GetLasLsya] ìíå âî ñíå. Ïðîñíóâøèñü, ÿ âñ¸ åù¸ ìîã[Root.GetNoneE] ñëûøàòü ýõî [From.GetHersHis] ïðåêðàñíîãî ãîëîñà, ÷óâñòâîâàòü [From.GetHersHis] ðóêó â ìîåé ëàäîíè. Î, ìèëûé àíãåë!;;x
EVTDSC_GBC_108;By the grace of [Root.Religion.GetHighGodName], [gbc_lover.GetFirstName] had not yet left! I found [gbc_lover.GetHerHim] in the garden, taking a stroll. [gbc_lover.GetSheHeCap] let me join [gbc_lover.GetHerHim] and soon our conversation flowed as easy and pleasant as a leisurely summer's day. In the end, I had to profess my love. [gbc_lover.GetSheHeCap] rejected me most virtuously, but I could tell [gbc_lover.GetSheHe] was moved by my words.;;;;;;;;;;;Õâàëà íåáåñàì, [From.GetFirstName] åù¸ íå óåõàë[From.GetEndA]! ß çàñòàë[Root.GetEndA] [From.GetHersHis] çà ïðîãóëêîé â ñàäó. [From.GetSheHeCap] ïîçâîëèë[From.GetEndA] ìíå ïðèñîåäèíèòüñÿ, è âñêîðå íàøà áåñåäà ñòàëà óâëåêàòåëüíîé è íåïðèíóæä¸ííîé, êàê ÿðêèé ëåòíèé äåíü. À ïîòîì ÿ ïðèçíà[Root.GetLasLsya] [From.GetHerHim] â ëþáâè. [From.GetSheHeCap] ïðåðâàë[From.GetEndA] ìåíÿ íà ïîëóñëîâå, íî áûë[From.GetEndA] òðîíóò[From.GetEndA] ýòèì.;;x
EVTDSC_GBC_109;I must send [gbc_lover.GetFirstName] something to assure [gbc_lover.GetHerHim] of my ardent feelings. I have understood that a [gbc_lover.GetLordLady] such as [gbc_lover.GetSheHe] appreciates having poems dedicated to them. However, a fine fur never disappointed anyone, either.;;;;;;;;;;;[gbc_lover.GetFirstName] äîëæ[gbc_lover.GetNaEn] óçíàòü î ñåðü¸çíîñòè ìîèõ íàìåðåíèé. ß ïîøëþ [gbc_lover.GetHerHim] ÷òî-íèáóäü, ÷òîáû ïîêàçàòü ñâîè ÷óâñòâà. Ðàçóìååòñÿ, [gbc_lover.GetAgedPersonM] âðîäå í[gbc_lover.GetHersHis] îöåíèò ïîýçèþ â ñâîþ ÷åñòü, íî ñ äðóãîé ñòîðîíû, ïðåêðàñíûå ìåõà íèêîãî åù¸ íå ðàçî÷àðîâûâàëè.;;x
EVTDSC_GBC_110;I labored throughout the evening and well into the night. However, it did pay off - the poem became even better than I could have hoped for! If anyone read this they would surely know whom it describes, even though I never mentioned [gbc_lover.GetFirstName]'s name.;;;;;;;;;;;Äíÿìè è íî÷àìè ÿ òðóäè[Root.GetLasLsya] íàä îáëå÷åíèåì ñâîèõ ÷óâñòâ â ñëîâà. È âñ¸ ýòî áûëî íå çðÿ, ïîýìà ïîëó÷èëàñü äàæå ëó÷øå ÷åì ÿ íàäåÿ[Root.GetLasLsya]! Åñëè êòî-òî ïðî÷ò¸ò ýòî, îí áåç ñîìíåíèÿ ïîéì¸ò î êîì èä¸ò ðå÷ü, íåñìîòðÿ íà òî, ÷òî ÿ äàæå íå óïîìÿíóë[Root.GetEndA] [gbc_lover.GetHersHis] èìÿ.;;x
EVTDSC_GBC_111;I labored throughout the evening and well into the night. No matter how I tried, I could not get the verse just right. The prose and structure turned out well, but I am not confident that I have fully captured the delicate nature of [gbc_lover.GetHerHis] qualities and my own feelings.;;;;;;;;;;;Äíÿìè è íî÷àìè ÿ òðóäè[Root.GetLasLsya], ñòàðàÿñü âûðàçèòü ñâîþ ëþáîâü ñëîâàìè. Íî âñ¸ íàïðàñíî, íè÷åãî íå ïîëó÷àåòñÿ. Äà, â ýòèõ ñòèõàõ åñòü ðèôìà è âûñîêèé ñëîã, íî îíè íå ìîãóò ïîêàçàòü âñþ ãëóáèíó ìîèõ ÷óâñòâ ê í[gbc_lover.GetHerHim].;;x
